Tags,Category,Type,Code,Category1,Category2,Category3
Wheat / Grain / Harvest,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Wheat,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Wheat / Grain,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Wheat / Harvest,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Grain,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Grain / Harvest,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Harvest,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Sales of Wheat,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Wool / Lamb Products / Animal Products,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Wool,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Wool / Lamb Products,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Wool / Animal Products,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Lamb Products,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Lamb Products / Animal Products,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Animal Products,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
"Sales of livestock, produce, grains and other products","Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Sales of Livestock,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Produce Grains,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Produce Grains & Other Products,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Coop / Rebate / Patronage Dividends,Cooperative distributions received,Income,line_3_a,,,
Coop,Cooperative distributions received,Income,line_3_a,,,
Cooperative,Cooperative distributions received,Income,line_3_a,,,
Cooperative distributions,Cooperative distributions received,Income,line_3_a,,,
Coop / Rebate,Cooperative distributions received,Income,line_3_a,,,
Coop / Patronage Dividends,Cooperative distributions received,Income,line_3_a,,,
Rebate,Cooperative distributions received,Income,line_3_a,,,
Rebate / Patronage Dividends,Cooperative distributions received,Income,line_3_a,,,
Patronage Dividends,Cooperative distributions received,Income,line_3_a,,,
Cooperative distributions received,Cooperative distributions received,Income,line_3_a,,,
Distributions,Cooperative distributions received,Income,line_3_a,,,
Distributions Received,Cooperative distributions received,Income,line_3_a,,,
Received,Cooperative distributions received,Income,line_3_a,,,
Insurance Payout,Crop insurance proceeds and federal crop disaster payments,Income,line_6_a,,,
Proceeds,Crop insurance proceeds and federal crop disaster payments,Income,line_6_a,,,
Crop,Crop insurance proceeds and federal crop disaster payments,Income,line_6_a,,,
Crop insurance,Unknown,Unknown,Unknown,Insurance (other than health),Crop insurance proceeds and federal crop disaster payments,
Crop insurance proceeds,Crop insurance proceeds and federal crop disaster payments,Income,line_6_a,,,
federal crop,Crop insurance proceeds and federal crop disaster payments,Income,line_6_a,,,
federal crop disaster,Crop insurance proceeds and federal crop disaster payments,Income,line_6_a,,,
federal crop disaster payments,Crop insurance proceeds and federal crop disaster payments,Income,line_6_a,,,
Crop insurance proceeds and federal crop disaster payments,Crop insurance proceeds and federal crop disaster payments,Income,line_6_a,,,
Baling Alfalfa Hay / Baling,Custom hire (machine work),Expense,line_13,,,
Baling Alfalfa Hay,Custom hire (machine work),Expense,line_13,,,
Baling,Custom hire (machine work),Expense,line_13,,,
Custom Hire (Machine Work),Custom hire (machine work),Expense,line_13,,,
Custom Hire,Custom hire (machine work),Expense,line_13,,,
Machine Work,Custom hire (machine work),Expense,line_13,,,
Lubricant / Lube / Oil / Oil Change / Repair / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Lube,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Oil,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Oil Change,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Lube / Oil,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Lube / Oil Change,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Lube / Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Lube / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Oil / Oil Change,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
